created at,id,favorite count,retweet count,is retweet,source,in reply to user_id,text
Sat Apr 22 00:43:21 +0000 2017,855582764418162690,42823,9835,False,Twitter Ads,,"'Presidential Executive Order on Identifying and Reducing Tax Regulatory Burdens' 
Executive Order:… https://t.co/dpE6hDzlAt"
Sat Apr 22 00:19:58 +0000 2017,855576880048738304,0,4960,True,Twitter for iPhone,,"RT @Scavino45: .@POTUS @realDonaldTrump, @IvankaTrump, Jared Kushner, &amp; Dina Powell in the Oval Office today w/ Aya &amp; her brother Basel.
#W…"
Fri Apr 21 20:22:14 +0000 2017,855517053238870019,76038,19562,False,Twitter for iPhone,,"WELCOME HOME, AYA!
#GodBlessTheUSA🇺🇸 https://t.co/CR4I8dvunc"
Fri Apr 21 13:04:19 +0000 2017,855406847200768000,66215,14382,False,Twitter for iPhone,,"China is very much the economic lifeline to North Korea so, while nothing is easy, if they want to solve the North Korean problem, they will"
Fri Apr 21 10:50:33 +0000 2017,855373184861962240,73399,14753,False,Twitter for iPhone,,"No matter how much I accomplish during the ridiculous standard of the first 100 days, &amp; it has been a lot (including S.C.), media will kill!"
Fri Apr 21 10:32:01 +0000 2017,855368516920332289,75062,18717,False,Twitter for iPhone,,Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on presidential election!
Fri Apr 21 10:11:27 +0000 2017,855363343607103489,0,8564,True,Twitter for iPhone,,RT @foxandfriends: NYT editor apologizes for misleading tweet about New England Patriots' visit to the White House (via @FoxFriendsFirst) h…
Thu Apr 20 21:35:05 +0000 2017,855172998747348998,37208,7010,False,Twitter Ads,,A great honor to host PM Paolo Gentiloni of Italy at the White House this afternoon! #ICYMI- Joint Press Conference… https://t.co/lJAvEZJV1F
Thu Apr 20 19:33:46 +0000 2017,855142466034556928,52450,11693,False,Twitter for iPhone,,"We're going to use American steel, we're going to use American labor, we are going to come first in all deals. ➡️… https://t.co/QYjWx9K4YY"
Thu Apr 20 13:48:14 +0000 2017,855055509455593472,81483,19178,False,Twitter for iPhone,,"Failing @nytimes, which has been calling me wrong for two years, just got caught in a big lie concerning New England Patriots visit to W.H."
Thu Apr 20 01:34:10 +0000 2017,854870777287634944,49049,9723,False,Twitter Ads,,A great honor to host the @SuperBowl Champion New England @Patriots at the White House today. Congratulations!… https://t.co/tQ5XEPaIxn
Wed Apr 19 20:26:45 +0000 2017,854793411110588418,48196,10614,False,Twitter for iPhone,,"Today I signed the Veterans (OUR HEROES) Choice Program Extension &amp; Improvement Act @ the @WhiteHouse. #S544 
Watch… https://t.co/0sMv4sPrmf"
Wed Apr 19 17:31:28 +0000 2017,854749300114546688,54144,12938,False,Twitter for iPhone,,#BuyAmericanHireAmerican🇺🇸 https://t.co/JPEXQTVR1E
Wed Apr 19 12:43:18 +0000 2017,854676780527079425,72852,15581,False,Twitter for iPhone,,Dems failed in Kansas and are now failing in Georgia. Great job Karen Handel! It is now Hollywood vs. Georgia on June 20th.
Wed Apr 19 04:09:17 +0000 2017,854547423464759296,77097,15355,False,Twitter for iPhone,,"Despite major outside money, FAKE media support and eleven Republican candidates, BIG ""R"" win with runoff in Georgia. Glad to be of help!"
Tue Apr 18 20:56:16 +0000 2017,854438452661809152,33968,6772,False,Twitter for iPhone,,"#BuyAmericanHireAmerican🇺🇸
Watch➡️https://t.co/AUqYcrgeyn https://t.co/rf9aivVb7g"
Tue Apr 18 20:38:25 +0000 2017,854433960566431746,63042,16473,False,Twitter for iPhone,,"Just learned that Jon @Ossoff, who is running for Congress in Georgia, doesn't even live in the district. Republicans, get out and vote!"
Tue Apr 18 10:46:19 +0000 2017,854284952539725828,62665,16046,False,Twitter for iPhone,,Republicans must get out today and VOTE in Georgia 6. Force runoff and easy win! Dem Ossoff will raise your taxes-very bad on crime &amp; 2nd A.
Tue Apr 18 10:38:59 +0000 2017,854283110191685634,56986,14367,False,Twitter for iPhone,,"Democrat Jon Ossoff would be a disaster in Congress. VERY weak on crime and illegal immigration, bad for jobs and wants higher taxes. Say NO"
Tue Apr 18 09:48:10 +0000 2017,854270321620287490,33641,4683,False,Twitter for iPhone,,I will be interviewed on @foxandfriends by @ainsleyearhardt starting at 6:00 A.M. Enjoy!
Tue Apr 18 09:39:25 +0000 2017,854268119774367745,72694,17597,False,Twitter for iPhone,,The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!
Tue Apr 18 02:18:38 +0000 2017,854157191053553666,61163,13599,False,Twitter for iPhone,,"With eleven Republican candidates running in Georgia (on Tuesday) for Congress, a runoff will be a win. Vote ""R"" for lower taxes &amp; safety!"
Mon Apr 17 22:41:53 +0000 2017,854102644394254341,42213,8319,False,Twitter for iPhone,,"See you tomorrow Wisconsin!

'Trump spurs small-business optimism in Milwaukee area'
https://t.co/JUxhO3oqjO"
Mon Apr 17 22:38:30 +0000 2017,854101790886948866,56216,10793,False,Twitter for iPhone,,"TRUMP APPROVAL HITS 50%
https://t.co/vjZkGTyQb9"
Mon Apr 17 13:35:27 +0000 2017,853965129024712704,0,7632,True,Twitter for iPhone,,RT @DRUDGE_REPORT: TRUMP APPROVAL HITS 50% https://t.co/TruX3WzR3U
Mon Apr 17 13:31:03 +0000 2017,853964023846588420,61174,19415,False,Twitter for iPhone,,"The super Liberal Democrat in the Georgia Congressioal race tomorrow wants to protect criminals, allow illegal immigration and raise taxes!"
Mon Apr 17 12:17:59 +0000 2017,853945633903923200,83488,18607,False,Twitter for iPhone,,The Fake Media (not Real Media) has gotten even worse since the election. Every story is badly slanted. We have to hold them to the truth!
Mon Apr 17 12:13:17 +0000 2017,853944453538750464,53324,12663,False,Twitter for iPhone,,"A great book for your reading enjoyment: ""REASONS TO VOTE FOR DEMOCRATS"" by Michael J. Knowles."
Mon Apr 17 12:07:16 +0000 2017,853942936337350656,75933,16169,False,Twitter for iPhone,,"""The first 90 days of my presidency has exposed the total failure of the last eight years of foreign policy!"" So true. @foxandfriends"
Mon Apr 17 00:45:01 +0000 2017,853771244579282944,64082,12804,False,Twitter for iPhone,,"The recent Kansas election (Congress) was a really big media event, until the Republicans won. Now they play the same game with Georgia-BAD!"
Sun Apr 16 13:41:47 +0000 2017,853604334944354305,104462,20803,False,Twitter for iPhone,,"Our military is building and is rapidly becoming stronger than ever before. Frankly, we have no choice!"
Sun Apr 16 13:13:26 +0000 2017,853597199619543041,95808,21244,False,Twitter for iPhone,,Someone should look into who paid for the small organized rallies yesterday. The election is over!
Sun Apr 16 13:07:11 +0000 2017,853595628655587334,70664,12384,False,Twitter for iPhone,,I did what was an almost an impossible thing to do for a Republican-easily won the Electoral College! Now Tax Returns are brought up again?
Sun Apr 16 12:24:49 +0000 2017,853584968047636480,186323,40671,False,Twitter for iPhone,,Happy Easter to everyone!
Sun Apr 16 12:18:40 +0000 2017,853583417916755968,72649,15001,False,Twitter for iPhone,,Why would I call China a currency manipulator when they are working with us on the North Korean problem? We will see what happens!
Fri Apr 14 21:46:20 +0000 2017,853001499747725317,0,17662,True,Twitter for iPhone,,RT @FLOTUS: Looking forward to hosting the annual Easter Egg Roll at the @WhiteHouse on Monday! https://t.co/nz7vucugx9
Fri Apr 14 20:41:25 +0000 2017,852985162870738944,33563,7089,False,Twitter for iPhone,,Weekly Address- https://t.co/tpZ7eqJLUH https://t.co/B2NQzj53ft
Fri Apr 14 03:18:24 +0000 2017,852722680851779584,0,5824,True,Twitter for iPhone,,RT @DRUDGE_REPORT: GREAT AGAIN: FEDS ARREST MURDER SUSPECT IN 'FAST AND FURIOUS' SCANDAL... https://t.co/clOLxTE3D4
Thu Apr 13 19:21:07 +0000 2017,852602568433950720,75042,13013,False,Twitter for iPhone,,It was a great honor to welcome Atlanta's heroic first responders to the White House this afternoon! https://t.co/ZtC14AJ0xs
